id	bibtex_key	title	author	author_full	url	local	h-index	Cited by	journal	journal_edited	year	Complex question subtype	What related works are cited?	Approach	Tool name	Is training necessary?	Is it open source? Link?	Knowledge Base	Metric	Dataset	How the work try to solve the complex question problem?	Pipeline de para construção da resposta (Normalmente é reconhecimento de entidade, extração de relações entre entidades etc)	Other informations	Scenario	Está disponível? Se sim, pegar o link/ref 	Limitações do trabalho? Oq ficou faltando?
25	Hao201957	A subgraph-representation-based method for answering complex questions over knowledge bases	Hao, Z. / Wu, B. / Wen, W. / Cai, R.	Zhifeng Hao / Biao Wu / Wen Wen / Ruichu Cai	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069926204&doi=10.1016%2fj.neunet.2019.07.014&partnerID=40&md5=6852221a85662f10f11655c8e5259d35	Journal	136	2	Neural Networks	Neural Networks	2019	Multi-hop questions	KVMemNN-KB, UNISHEMA	Semantic Parsing, Neural Networks	X	S	Não	Freebase, SPADES	MRR, Precision, Hit	ClueWeb, SimpleQuestions, WebQuestions	This task as a representation matching problem and propose a subgraph-representation-based approach. Firstly, we extract the entities from the question and generate a subgraph. Then, a novel DAG-LSTM with an edge information model is used to embed these DAGs in a continuous space. Finally, a memory network is implemented to capture the match between the distributional representation of question and candidate DAGs.	The framework of the proposed subgraph-based KBQA method. Generally, there are four important modules in this model: question encoder, candidate DAG(directed-acyclic-graph) generator, DAG encoder and memory network.	ML/DL, mas usa CN tbm  Comenta sobre um dataset chamado SPADES  Foco :  Perguntas com multiplos predicados/fatos	General	https://lemurproject.org/clueweb12/ https://github.com/brmson/dataset-factoid-webquestions	Não encontrado.
26	Lu2019105	Answering complex questions by joining multi-document evidence with quasi knowledge graphs	Lu, X. / Abujabal, A. / Pramanik, S. / Wang, Y. / Roy, R.S. / Weikum, G.	Xiaolu Lu / Abdalghani Abujabal / Soumajit Pramanik / Yafang Wang / Rishiraj Saha Roy / Gerhard Weikum	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073800511&doi=10.1145%2f3331184.3331252&partnerID=40&md5=a779ea86317f9753b3d83ba71651c7e0	Conference	103	12	SIGIR 2019 - Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval	SIGIR	2019	Multi-hop questions	DrQA, BFS, ShortestPaths	Semantic Parsing	QUEST (QUEstion answering with Steiner Trees) first constructs an ad hoc, noisy knowledge graph by dynamically retrieving question-relevant text documents and running Open Information Extraction on them to produce triple subject-predicate-object	S	Demo, http://qa.mpi-inf.mpg.de/quest/	QuasiKG	MRR, Precision, Hit	WikiAnswers	Cornerstones. To find answers in the quasi KG, we first identify pivotal nodes that we call cornerstones: every node that matches a word or phrase in the question, with similarity above a threshold, becomes a cornerstone. Also, relation nodes and type nodes become cornerstones. All cornerstone nodes for our running example question have thick borders. These nodes are weighted based on the matching or similarity scores. The key idea for identifying answer candidates is that these nodes should be tightly connected to many cornerstones. To formalize this intuition, we consider three factors: (i) answers lie on paths connecting cornerstones, (ii) short paths are preferred, and (iii) paths with higher weights are better	QUEST processes questions in two phases: on-the-fly construction of the quasi KG for the question, and, the graph algorithm for computing ranked answers. Together, these phases comprise the following five steps: (1a) Retrieving question-relevant documents from an open corpus (e.g., the entire Web), (1b) Extracting proximity-based SPO triples from these documents using Open IE techniques, (1c) Building a noisy quasi KG from these triples, (2a) Computing GSTs on the quasi KG to derive candidate answers, (2b) Filtering and scoring candidates to produce ranked answers	CN  Foco :  Perguntas com multiplos predicados/fatos	General	http://qa.mpi-inf.mpg.de/quest/.	Curated KGs will be the focus of future studies
27	saha2019complex	Complex Program Induction for Querying Knowledge Bases in the Absence of Gold Programs	Saha, Amrita / Ansari, Ghulam Ahmed / Laddha, Abhishek / Sankaranarayanan, Karthik / Chakrabarti, Soumen	Amrita Saha / Ghulam Ahmed Ansari / Abhishek Laddha / Karthik Sankaranarayanan / Soumen Chakrabarti	https://www.mitpressjournals.org/doi/abs/10.1162/tacl_a_00262	Journal	135	10	Transactions of the Association for Computational Linguistics	TACL	2019	Multi-hop questions, Contraints questions	KVMnet	Semantic Parsing, Neural Networks	X	S	https://github.com/CIPITR/CIPITR	Freebase	F1	WebQuestionsSP, CSQA/CQA	Neural Program Induction (NPI) combinatorial program space to only semantically correct programs by (i) incorporating symbolic constraints guided by KB schema and inferred answer type, and (ii) adopting pragmatic programming techniques by decomposing the final goal into a hierarchy of sub-goals, thereby mitigating the sparse reward problem	The CIPITR framework reads a natural language query and writes a program as a sequence of actions, guided at every step by constraints posed by the KB and the answer-type. Because the space of actions is discrete, REINFORCE is used to learn the action selection by computing the reward from the output answer obtained by executing the program and the target answer, which is the only source of supervision.	ML/DL  Foco :  Perguntas com multiplos predicados/fatos, quantitativos e qualitativos	General	https://drive.google.com/file/d/1CuV4QJxknTqDmAaLwBfO1kyNW7IXTd1Q/view?usp=sharing	future directions of work, CIPITR can be further improved to handle the hardest question types by making the search more strategic, and can be further generalized to a diverse set of goals when training on all question categories together. Other potential directions of research could be toward learning to discover sub-goals to further decompose the most complex classes beyond just the two-level phase transition proposed here. Additionally, further improvements are required to induce complex programs without availability of gold program input variables
28	Jin201975235	ComQA: Question Answering Over Knowledge Base via Semantic Matching	Jin, H. / Luo, Y. / Gao, C. / Tang, X. / Yuan, P.	Hai Jin / Yi Luo / Chenjing Gao / Xunzhu Tang / Pingpeng Yuan	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068210651&doi=10.1109%2fACCESS.2019.2918675&partnerID=40&md5=33cc7055b54e88966e081b0f1b618ba4	Journal	86	8	IEEE Access	IEEE Access	2019	Multi-hop questions, Contraints questions	Com os usário do QALD3-4-5	Semantic Parsing	ComQA	N	Nao falam	Dbpedia	F1, Precision	QALD	All possible paths	Primeiros eles identificam as entidade seeds usando um NER e árvore de dependicia para gerar as relações e fazem a similaridade com as relações e entidades em um KG . Usam uma árvore de dependencia para ajudar na criação dos candidatos e para resolver problemas com "palavras erradas" usando a semantica gerada pela árvore. Depois disso,  fazem a construção da query de consulta no KG usam o caminho crítico gerado pela árvore de dependencia. Por último, fazem o ranqueamento das query geradas	CN  Foco :  Perguntas com multiplos predicados/fatos, quantitativos e qualitativos	General	sim	In the future, we will explore how to represent the commonsense knowledge of the world in KBQA tasks. Then we will aim to incorporate the appropriately represented commonsense knowledge into the process of KBQA, which helps a lot in evaluating the semantic similarity of different entities (or relations) at a deeper level than merely considering the semantic similarity at the word level in our current work.
29	Xu20192937	Enhancing key-value memory neural networks for knowledge based question answering	Xu, K. / Lai, Y. / Feng, Y. / Wang, Z.	Kun Xu / Yuxuan Lai / Yansong Feng / Zhiguo Wang	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084330357&partnerID=40&md5=8f1052f90b11986ff3c4cafa5d4bd9ee	Conference	90	12	NAACL HLT 2019 - 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies - Proceedings of the Conference	NAACL	2019	Multi-hop questions	Com os do QALD-4 e laguns outros métodos de parser semântico	Neural Networks	Não tem nome, usam KV-MemNNs	S	Não falam	Freebase	F1, Precision	WebQuestions, QALD	decomposition of questions	(1) Key Hashing: NED para extrair todas as entendidades e objetos. Incluem uma flag STOP para não ter problema com memoria, ou seja, não pegarem muitos valores (2) Key Addressing & Value Reading: Basicamento um precesso de match com a finalidade de achar a chave mais apropriada para uma dada query. eles susam SOFTMAX para calcular a probailidade de dados x e key_i ser pertencente a query. Usam Bag-of-words (word embeedings) para pegar a representação vetorial (3) Query Updating: Atualiza os valores para o próximo salto e salva as informaçãojá computadas. Como se trata de uma NN com memória, a ideia é fazer a conctenação dos valores obtidos no salto anterior para usar no próximo. (4) Answer Prediction: Calculam a a propabilidade do estado atual baseado nos valores do estado atual + o estado anterior. COm isso, criam uma lista de possiveis "s-p-o" para fazer a consulta, retiramdo o STOP dessa lista.	ML/DL .  Foco: Perguntas com multiplos predicados/fatos	General		
30	Bhutani2019739	Learning to answer complex questions over knowledge bases with query composition	Bhutani, N. / Zheng, X. / Jagadish, H.V.	Nikita Bhutani / Xinyi Zheng / Hosagrahar Visvesvaraya Jagadish	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075418406&doi=10.1145%2f3357384.3358033&partnerID=40&md5=258961b0addf1b76d69d78432b23d588	Conference	111	9	International Conference on Information and Knowledge Management, Proceedings	CIKM	2019	Multi-hop questions	 CompQA  e Parasempre	Semantic Parsing, Neural Networks	TextRay	S	https://github.com/umich-dbgroup/TextRay-Release	Freebase	F1, Precision	ComplexWebQuestions,  WebQuestionsSP	a decompose-execute-join approach	Criação do mapa de entidades: Primeiro eles selecionam as entidades usando um entity link e pega os 10 melhores candidatos (menção,entidade). Depois criam todas as possiveis caminhois para respodenr as perguntas usando as entidades, eles chaman de simQA e join, onde simQA é pegar uma entidade e conectar a outra diretamente (1-hop) e join e juntas duas entidades e gerar uma nova (Partial Query Candidate Generation) Criam um a log-linear model para avaliar as query candidatas baseadas em n de entidades, areastas etc e usam f1 pra selecionar. A melhor selecionada é transformada em SPARQL e retornam as entidades como resposta 	Foco: Perguntas com multiplos predicados/fatos	General	Sim	
31	Vakulenko20191431	Message passing for complex question answering over knowledge graphs	Vakulenko, S. / Garcia, J.D.F. / Polleres, A. / De Rijke, M. / Cochez, M.	Svitlana Vakulenko / Javier David Fernandez Garcia / Axel Florian Polleres / Maarten de Rijke / Michael Cochez	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075453852&doi=10.1145%2f3357384.3358026&partnerID=40&md5=9c900dd8cfb3622388ab911d1c3212fa	Conference	111	10	International Conference on Information and Knowledge Management, Proceedings	CIKM	2019	Multi-hop questions	Sim, WDAqua ( the results produced by WDAqua are the only published results on the end-to-end question answering task for the LC-QuAD benchmark to date)	Semantic Parsing	QAmp	N	Sim,  https://github.com/svakulenk0/KBQA	Dbpedia	Precision, Recall, F1, Time	LC-QuAD	Assume that each complex question needs N jumps. Break a question into N jumps and find the predicates for each of those jumps	(1) question interpretation: (1.1) Parsing:  Geram os tokens usando um ML supervisionado. Question type detection is implemented as a bi-LSTM e We use another biLSTM+CRF neural network for extracting references to entities, classes and predicates. Em ambos, usam o GLOVE como wordvector e Common Crawl corpus with 840B tokens and 300 dimensions. (1.2) Matching:  Retornam uma lista de candidatos com o maior valor de similaridade com os tokens aprendidos e as entidades/relações no KG. Nessa etapa usam o Fasttext para representação das palavras e   ElasticSearch (Lucene)  (2) answer inference.: (2.1)Subgraph extraction: Extrair triples in the KG that contain at least one entity. As entidades extraídas são passadas como seeds para a próxima etapa (matriz de adjacencia) (2.2)Message passing:  é feito em 3 etapas  (1) property update, (2) entity update, and (3) score aggregation. Basicamente seleciona os nós adjacentes e propaga a confianca wise-element multipl, soma e normaliza os pesos e por fim faz a ativação do nó. (Basicamente, é uma NN fazendo foward activation)	Foco: Perguntas com multiplos predicados/fatos	General	Sim	QAmp is not without limitations. It is designed to handle questions where the answer is a  subset of entities or an aggregate based on this subset, e.g., questions for which the expected answer is a subset of properties in the graph, are currently out of scope. An important next step is to use QAmp to improve the recall of the benchmark dataset by complementing the answer set with missing answers derived from relaxing the dataset  ssumptions. Recognizing relation directionality is an important direction for future work, which requires extending existing benchmark datasets and the addition of more cases  here an explicit order is required to retrieve correct answers. Another direction is to  mprove predicate matching, which is the weakest component of the proposed approach as identified in our ablation study. Finally, unsupervised message passing can be  dopted for other tasks that require uncertain reasoning on KGs, such as knowledge base completion, text entailment, summarization, and dialogue response generation 
32	Agarwal201935	Retrieving relationships from a knowledge graph for question answering	Agarwal, P. / Ramanath, M. / Shroff, G.	Puneet Agarwal / Maya N.Seeta Ramanath / Gautam Shroff 	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064870612&doi=10.1007%2f978-3-030-15712-8_3&partnerID=40&md5=f6a1b1472bed874337b3d2edaa7417eb	Conference	356	1	41st European Conference on IR Research	ECIR	2019	Multi-hop questions	ISOMAP, LLE, Sempre	Semantic Parsing, Neural Networks	X	S	X	Freebase	F1, Accuracy	WebQuestionsSP, FB15K, QSMRQ	We use a supervised learning approach to retrieve the sequence of relationships which is also referred to as path, required for answering factoid queries against a knowledge graph.	Uses a sequence to sequence neural network to predict the relationship embeddings of the target set of relationships required for answering factoid queries. We then use beam search, against the predicted embeddings to retrieve the target set of relationships. While predicting the relationship embeddings, our model takes into account the structure of knowledge graph, using pre-learned knowledge graph entity and relationship embeddings.	ML/DL. dataset => https://github.com/apuneet/KG-REP#kg-rep  Foco: Perguntas com multiplos predicados/fatos	General	X	
33	Tong2019323	Leveraging Domain Context for Question Answering Over Knowledge Graph	Tong, P. / Zhang, Q. / Yao, J.	Peihao Tong / Qifan Zhang / Junjie Yao	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074757068&doi=10.1007%2fs41019-019-00109-w&partnerID=40&md5=eafbf7f72d433dcf4e73badbec6aae7c	Journal	10	6	Data Science and Engineering	Data Science and Engineering	2019	Multi-hop questions	SimpleEmbedding, SubgraphEmbedding, MemNNs, MCCNNs, Bi-LSTM, Tree-LSTM with A-Q	Semantic Parsing, Neural Networks	X	S	Não	Freebase, InsKG	F1, Accuracy	WebQuestions, InsKG	Online step and oflfine step. In offline training, we collect external text resources, to embed and represent the questions. After that, we parse the input question with the help of the tree model, which parses the users' question intents, ie, In the online response, the extracted embedding vectors are used to represent the input questions. 	Geram o wor2vec, depois passam por uma arvore LSTM, analisam os candidatos e reanqueiam os melhores resultados. A diferença é que usam um método de cross-attention no final do processo		General	Não	We are investigating its extensions in the relationship inference and entity analytics in future work.
34	Abdelkawi2019571	Complex query augmentation for question answering over knowledge graphs	Abdelkawi, A. / Zafar, H. / Maleshkova, M. / Lehmann, J.	Abdelrahman Abdelkawi / Hamid Zafar / Maria Maleshkova / Jens Lehmann	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077882701&doi=10.1007%2f978-3-030-33246-4_36&partnerID=40&md5=1276fd59829973da57a8b553e9a4ca01	Conference		3	OTM Confederated International Conferences" On the Move to Meaningful Internet Systems	OTM	2019	Multi-hop questions	SQG	Semantic Parsing	ExSQG	S	Não falam	DBpedia	Precision, Recall, F1	QALD, WebQuestions, ComplexQuestions	They reuse the SQG and extend it to work better with ordinal and filtering questions. They focus on two main modules: Query argumentations and Question classifier.	Eles reutilizam o SQG  e extenden ele para funcionar melhor com perguntas ordinais e de filtrarem. Focam em dois principais módulos: Query argumentations e Question classifier.		Ordinal	DBNQA: Ngomo, N.: 9th challenge on question answering over linked data (qald-9). language 7, 1	Considering the upcoming Q/A datasets such as LC-QuAD 2.0 [10], which not only contains Ordinal and Filter in about 17% out of 50k questions, but also includes new types such as aggregation, which appears in more than 4% of all questions, we aim to expand our work to also cover aggregation.
35	Hu20202098	A state-transition framework to answer complex questions over knowledge base	Hu, S. / Zou, L. / Zhang, X.	Sen Hu / Lei Zou / Xinbo Zhang	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066476875&partnerID=40&md5=91bc65a67dcc9579224479b7cba5f2cb	Conference	112	22	Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, EMNLP 2018	EMNLP	2018	Multi-hop questions, Contraints questions	Sim, para o FREEBASE = STAGG, QUINT, NFF, Aqqu e Aqqu++ para a DBPEDIA = CANaLI, UTQA, KWGAnswer, SemGraphQA, UIQA1e2, NGG, gAnswer, Aqqu	Semantic Parsing, Neural Networks	X	S	Não falam	DBpedia, Freebase	F1, Recall, Precision	QALD, WebQuestions, ComplexQuestions	Therefore, in this paper, we propose a more flexible strategy to answer complex questions without handcrafted templates or restricting the query graph’s structure	Usam Análise de Grafos de conhecimento e NN. Fazem o match das entidades usando o S-MART (FREEBASE) e DBpeida Lookup(DBPEDIA, link = http://wiki.dbpedia.org/projects/dbpedia-lookup ), depois fazem várias etapas de coneção, merge, expansão e fold com cada tupla de entidade e ralações encontradas.  Para fazer essas busca, utilizam um algoritimo guloso com uma função de recompensa que usa um modelo de log-linear para estimar a probabilidade de cada estado. Além disso,  para reduzir o espaço de busca acrescentam um conjunto de condições para cada um das operações listadas anteriormente, só se as condições forem atingidas as operações são executadas. Depois disso, usavam a arvore de dependecia da pergunta junto com o resultado da etapa anterior e treinam uma  Multi-Channel Convolutional Neural Network	Foco: Perguntas com multiplos predicados/fatos e relações indiretas	General	Sim	Não falam
36	bhutani2020answering	Answering Complex Questions by Combining Information from Curated and Extracted Knowledge Bases	Bhutani, Nikita / Zheng, Xinyi / Qian, Kun / Li, Yunyao / Jagadish, H	Nikita Bhutani / Xinyi Zheng / Kun Qian / Yunyao Li / H V Jagadish	https://www.aclweb.org/anthology/2020.nli-1.1.pdf	Workshop	135	1	Proceedings of the First Workshop on Natural Language Interfaces	WNLI	2020	Multi-hop questions	SIm: OQA e GraftNet+, SplitQA e MHQA	Semantic Parsing, Neural Networks	MULTIQUE	S	Não falam	Freebase, StanfordOpenIE, CompQWeb, WebQSP	F1	ComplexWebQuestions, WebQuestionsSP	constructs query patterns to answer complex questions from simple queries each targeting a specific KB	 Partial Query Candidate Generation: (1) Identificam a seed usando um NER (2) Criam todos os l 1-hop and 2-hop para a seed (3) identificam as constrancts usando is_a (4) fazem transição para a próxima entidade baseado no cálculo de similaridade (simQA = método para achar várias queries simples) (5)Query Composition: treinam um log-linear para calcular a melhor derivação (melhor resposta) baseado em numeros de entidades, restrições etc   Usam : Nikita Bhutani, Xinyi Zheng, and HV Jagadish. 2019. Learning to answer complex questions over knowledge bases with query composition. In Proceedings of the 28th ACM International Conference on Information and Knowledge Management, pages 739– 748. 	Foco: Perguntas com multiplos predicados/fatos	General	https://arxiv.org/pdf/1803.06643.pdf	Não falam
37	Bakhshi2020	Data-driven construction of SPARQL queries by approximate question graph alignment in question answering over knowledge graphs	Bakhshi, M. / Nematbakhsh, M. / Mohsenzadeh, M. / Rahmani, A.M.	Mahdi Bakhshi / Mohammadali Nematbakhsh / Mehran Mohsenzadeh / Amir Masoud Rahmani	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078173141&doi=10.1016%2fj.eswa.2020.113205&partnerID=40&md5=69b813f2ad9aeb9248bc7ea8364bf016	Journal	184	5	Expert Systems with Applications	Expert Systems with Applications	2020	Multi-hop questions	TemplateQA, QUINT, Aqqu	Semantic Parsing		N		DBpedia	Hit	ComplexQuestions, QALD, SAQ-2015			EM DUVIDA	General	Sim	As for future work, several research directions are worth investigating. We are interested in extracting the uncertain question graph automatically from an NLQ. We also aim to increase precision by improving the similarity scoring function, specifically for relations in the NLQ. Moreover, we plan to improve efficiency by exploiting some techniques such as parallelization and indexing
38	Ding20202614	Leveraging frequent query substructures to generate formal queries for complex question answering	Ding, J. / Hu, W. / Xu, Q. / Qu, Y.	Jiwei Ding / Wei Hu / Qixin Xu / Yuzhong Qu	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084304220&partnerID=40&md5=91478f0b50fff357cc337223dfc2ba53	Conference	112	5	EMNLP-IJCNLP 2019 - 2019 Conference on Empirical Methods in Natural Language Processing and 9th International Joint Conference on Natural Language Processing, Proceedings of the Conference	EMNLP, IJCNL	2019	Multi-hop questions	Sina,  NLIWOD, SQG, CompQA	Semantic Parsing, Neural Networks	SubQG	S	Nao falam	Dbpedia	F1, Precision	LC-QuAD, QALD	Break a dataset of several simple questions	Etapa offline: (1)  Collect query structures: Descobrem as estruturas equivalentes entres as querys de treino e extraem as principais estuturas das queries (2) Collect frequent query substructures: Decompem cada query e pegam todas as subqueries. (3)  Train query substructure predictors: Trinam uma NN para calcular a probabilidade de cada substrutura pertencer a a aquery original. Etapa online: (1)Predict query substructures: Calculam a probabilidade de uma query definida na etapa offlinie-3. (2) Rank existing query structures: Fazem o ranqueamento das estruturas para saber a mais apropriada para responder a pergunta (3)Merge query substructures:  Fazem o merge das queries para responder as perguntas (4) Grounding and validation: Usam um NED para extrair as entendiades para criar a query executavel em um KB. Para cada query gerada, eles tentam todas as possabilidades de entity linking resultantens do NER e usam um validador de gramática para checar se o doman/rang estçao corretos.	Foco: Perguntas com multiplos predicados/fatos quantitativos	General	Sim	In future work, we plan to add support for other complex questions whose queries require UNION, GROUP BY, or numerical comparison. Also, we re interested in mining natural language expressions for each query substructures, which may help current parsing approaches.
39	Shin2020234	Processing knowledge graph-based complex questions through question decomposition and recomposition	Shin, S. / Lee, K.-H.	Sangjin Shin / Kyong Ho Lee	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082128792&doi=10.1016%2fj.ins.2020.02.065&partnerID=40&md5=c4bd5969b6bf281b9217a8b9d156a5fa	Journal	169	0	Information Sciences	Information Sciences	2020	Multi-hop questions, Contraints questions	Aqqu,QUINT,  StaGG, MULCQ, Luo et al,	Semantic Parsing, Neural Networks	X	S		Freebase	F1	WebQuestions, ComplexQuestions	Break down sub graphs and rank all possible paths	Essa é a etapa online, ela é feita em 3 etapas: (1) Question decomposition: Usam uma avore de dependencia para ver as restrições (por ex. depois de X ou secondo)  e o S-MART NER. Salvam esses dados em uma tupla de "constraints".Depois de retiraram essa lista, decompoem a query q restante em várias sub queries usando padrões manuais ou outras regras semânticas. Depois de geraram as subqueries, eles fazem uma simlariadade entre as subqqueries e o dicionário criado na etapa (1)offline, usando probabilinadade de Modelo de linguagem(n-Gram) e word-embeddings. (2)Complete query graph generation: Geração de todas as possiveis combinação de grafos completos baseado nos subgrafos que satisfazem simlaridade da etapa anterior >0.6 trocando as entidades pelo <E> usando co-reference resllution. (3) Ranking and answer generation: Ranqueamento de todos os grafos da etapa anterior atraves da funcao de associação. No final, usam uma rando forest para utilizar a tecninca "learning-to-rank".	Foco: Perguntas com multiplos predicados/fatos	General		Não falam sobre trabalhos futuros
40	Qiu2020474	Stepwise reasoning for multi-relation question answering over knowledge graph with weak supervision	Qiu, Y. / Wang, Y. / Jin, X. / Zhang, K.	Yunqi Qiu / Yuanzhuo Wang / Xiaolong Jin / Kun Zhang	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079529381&doi=10.1145%2f3336191.3371812&partnerID=40&md5=75f1d278cb437bddedf3813e1aa5c650	Conference	??	6	WSDM 2020 - Proceedings of the 13th International Conference on Web Search and Data Mining	WSDM	2020	Multi-hop questions	IRN,  VRN, MemNN, KV-MemNN e MINERVA	Neural Networks	Stepwise Reasoning Network. In this model, multi-relation question answering is formulated as a sequential decision problem. Given a natural language question, SRN learns a policy which starts from the topic entity, and performs effective path search over the KG to obtain the answer. Specifically, conditioned on the question and previous decisions, SRN leverages beam search to take a list of triples at each step	S	Tem o pseudo código dentro do artigo, porém não faz referencias a git nem nada	Freebase	Hit	PathQuestion, WolrdCup2014, METAQA  	They break down into simple questions and set up a path to the answer. The process called Markov decision process is used. There is an agent, an environment and a reward for every interaction that is made. This is all done using reinforced learning within a knowledge graph	Entity Linker para achar a entidade alvo, aplica um word embeddings na pergunta, depois usa uma Bi-GRU para criar os vetores das questoes,  passa por um Single-Layer Perceptron ,  depois por uma camada de ativação, outro percpetron e então pela softmax para responder a pergunta	Foco: Perguntas com multiplos predicados/fatos	MultiPredicade	https://arxiv.org/pdf/1801.04726.pdf https://arxiv.org/pdf/1709.04071.pdf https://arxiv.org/abs/1611.02266   	Following some existing embedding-based methods, SRN employs  multi-hop reasoning to answer multi-relation questions. From a  certain point of view, multi-hop reasoning is similar to semantic  parsing, since both of them are focus on detecting correct paths from  topic entities to answer nodes, and the paths generated by multihop reasoning can also form logic forms. However, when faced with  more complex questions like “Which player is the highest in NBA?”,  multi-hop reasoning cannot handle them very well, because there  exist constraints requiring to be attached to the paths between topic  entities and candidate answers.  Ou seja problema com peguntas que não tem a entidade explicita no texto
41	wang2019structured	Structured query construction via knowledge graph embedding	Wang, Ruijie / Wang, Meng / Liu, Jun / Cochez, Michael / Decker, Stefan	Ruijie Wang / Meng Wang / Jun Liu / Michael Cochez / Stefan Decker	https://link.springer.com/content/pdf/10.1007/s10115-019-01401-x.pdf	Journal	65	2	Knowledge and Information Systems	Knowledge and Information Systems	2019	Multi-hop questions	QALD-6, RFF, NFF	Semantic Parsing	X	N	Não falam	DBpedia	Time, Recall, Precision, F1	QALD	They do graph analysis, create the embeddings of the predicate subject relations object of the knowledge graph	Firstly, in the offline stage, the underlying KG is encoded into a low-dimensional embedding space based on generalized local knowledge graphs which represent the contexts of vertices/edges. Then, in the online stage, each entity/relation phrase of the given NLQ is mapped to a set of candidate matching vertices/edges of the underlying KG. With the embedding vectors learned in the offline stage, the mapping results are utilized to compute the structure of the target query. Finally, we select the most suitable matching vertices/edges and assemble them into the target query according to the computed query structure		General		Since the main failure cause of our framework is the errors during phrase mapping, we intend to explore more effective phrase mapping methods in the future. And, we are trying to improve the performance of our embedding method by adopting improved translation mechanisms.
42	Wu2020170	A seq2seq-based approach to question answering over knowledge bases	Wu, L. / Wu, P. / Zhang, X.	Linjuan Wu / Peiyun Wu / Xiaowang Zhang	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081173879&doi=10.1007%2f978-981-15-3412-6_17&partnerID=40&md5=143c664f3ac63aaf4486d732dceecbb0	Conference	45	0	9th Joint International Conference, JIST 2019	JIST	2019	Multi-hop questions	X	Neural Networks	X	S	Não falam	Chinese_film_knowledge	F1, Precision	Chinese_movies	Use question templates and find similar ones	Eles usam uma seq-2-seq para identificar o tipo da perguntas e fazer um math com os templates de perguntas		General	Diekerma, A., Yilmazel, O., Liddy, E.: Evaluation of restricted domain questionanswering systems. In: Proceedings of ACL 2004, pp. 2–7 (2004)	In the experiment, we show that our approach can outperform the existing template matching approach in a Chinese film knowledge base. Furthermore, we would like to extend our proposal to other domain knowledge bases, even open knowledge bases.
43	diefenbach2020towards	Towards a question answering system over the semantic web	Diefenbach, Dennis / Both, /reas / Singh, Kamal / Maret, Pierre	Dennis Diefenbach / Andreas Both / Kamal Singh / Pierre Maret	https://arxiv.org/pdf/1803.00832.pdf	Journal	36	29	Semantic Web	Semantic Web	2020	Multi-hop questions, Contraints questions	QALD-1, QALD-2, QALD-3, QALD-4, QALD-5, QALD-6, QALD-7	Semantic Parsing	WDAqua-core1	N	Sim, http://wdaqua.eu/qa	Wikidata, DBpedia, MusicBrainz, DBLP, Freebase	Time, F1, F1, Recall, Precision	QALD, WDAquaCoreQuestions, SimpleQuestions, LC-QuAD	Graph analysis	Our approach is decomposed in 4 steps: question expansion, query construction, query ranking and response decision	WDAqua	General	Sim	
44	saha2018complex	Complex Sequential Question Answering: Towards Learning to Converse Over Linked Question Answer Pairs with a Knowledge Graph 	Amrita Saha, Vardaan Pahuja, Mitesh M. Khapra, Karthik Sankaranarayanan, Sarath Chandar	Amrita Saha/ Vardaan Pahuja/ Mitesh M. Khapra/ Karthik Sankaranarayanan/ Sarath Chandar	https://arxiv.org/pdf/1801.10314.pdf	Conference	126	66	32nd AAAI Conference on Artificial Intelligence, AAAI 2018 	AAAI	2018	Multi-hop questions, Contraints questions	-	Neural Networks	HRED=KVmem	S	https://amritasaha1812.github.io/CSQA/	Wikidata	Recall, Precision, F1, BLEU-4	CSQA/CQA				General	X	
